AMZN,08/18/2021,12.28
NFXL,08/18/2021,13.48
GOOG,08/18/2021,14.88
SPY,08/18/2021,14.62
QQQ,08/18/2021,14.99
SHOP,08/18/2021,12.03
DIS,08/18/2021,13.66
WMT,08/18/2021,14.5
BKR,08/18/2021,5.73
ZM,08/18/2021,10.16
PZR,08/18/2021,6.77
KT,08/18/2021,6.82
RI,08/18/2021,7.89
V,08/18/2021,13.96
TD,08/18/2021,5.85
AMZN,08/17/2021,6.86
NFXL,08/17/2021,6.25
GOOG,08/17/2021,6.04
SPY,08/17/2021,7.73
QQQ,08/17/2021,9.03
SHOP,08/17/2021,5.65
DIS,08/17/2021,10.83
WMT,08/17/2021,8.42
BKR,08/17/2021,8.11
ZM,08/17/2021,5.71
PZR,08/17/2021,11.82
KT,08/17/2021,9.62
RI,08/17/2021,11.28
V,08/17/2021,8.29
TD,08/17/2021,7.35
AMZN,08/16/2021,7.97
NFXL,08/16/2021,10.2
GOOG,08/16/2021,10.11
SPY,08/16/2021,6.94
QQQ,08/16/2021,13.97
SHOP,08/16/2021,7.36
DIS,08/16/2021,10.1
WMT,08/16/2021,10.36
BKR,08/16/2021,5.94
ZM,08/16/2021,5.4
PZR,08/16/2021,8.02
KT,08/16/2021,12.53
RI,08/16/2021,14.61
V,08/16/2021,7.96
TD,08/16/2021,5.35
AMZN,08/15/2021,6.98
NFXL,08/15/2021,5.34
GOOG,08/15/2021,14.46
SPY,08/15/2021,6.44
QQQ,08/15/2021,14.2
SHOP,08/15/2021,11.59
DIS,08/15/2021,11.2
WMT,08/15/2021,6.1
BKR,08/15/2021,13.14
ZM,08/15/2021,13.13
PZR,08/15/2021,9.11
KT,08/15/2021,10.74
RI,08/15/2021,14.15
V,08/15/2021,10.38
TD,08/15/2021,9.57
AMZN,08/14/2021,9.31
NFXL,08/14/2021,11.26
GOOG,08/14/2021,12.07
SPY,08/14/2021,14.57
QQQ,08/14/2021,13.03
SHOP,08/14/2021,13.36
