AMZN,08-18-2021,7.75
NFXL,08-18-2021,13.25
GOOG,08-18-2021,14.46
SPY,08-18-2021,13.78
QQQ,08-18-2021,6.45
SHOP,08-18-2021,9.62
DIS,08-18-2021,11.62
WMT,08-18-2021,14.33
BKR,08-18-2021,12.38
ZM,08-18-2021,6.51
PZR,08-18-2021,6.51
KT,08-18-2021,6.35
RI,08-18-2021,5.57
V,08-18-2021,10.68
TD,08-18-2021,9.46
AMZN,08-17-2021,14.99
NFXL,08-17-2021,13.81
GOOG,08-17-2021,5.98
SPY,08-17-2021,10.04
QQQ,08-17-2021,6.82
SHOP,08-17-2021,8.34
DIS,08-17-2021,12.0
WMT,08-17-2021,5.34
BKR,08-17-2021,10.47
ZM,08-17-2021,14.44
PZR,08-17-2021,11.25
KT,08-17-2021,8.59
RI,08-17-2021,11.82
V,08-17-2021,11.17
TD,08-17-2021,9.46
AMZN,08-16-2021,12.83
NFXL,08-16-2021,7.62
GOOG,08-16-2021,5.9
SPY,08-16-2021,7.77
QQQ,08-16-2021,9.24
SHOP,08-16-2021,11.46
DIS,08-16-2021,12.63
WMT,08-16-2021,11.72
BKR,08-16-2021,14.04
ZM,08-16-2021,14.84
PZR,08-16-2021,13.37
KT,08-16-2021,6.12
RI,08-16-2021,11.44
V,08-16-2021,9.29
TD,08-16-2021,9.12
AMZN,08-15-2021,12.64
NFXL,08-15-2021,5.68
GOOG,08-15-2021,11.44
SPY,08-15-2021,8.32
QQQ,08-15-2021,12.52
SHOP,08-15-2021,12.74
DIS,08-15-2021,8.53
WMT,08-15-2021,13.23
BKR,08-15-2021,14.8
ZM,08-15-2021,12.84
PZR,08-15-2021,14.23
KT,08-15-2021,13.51
RI,08-15-2021,10.91
V,08-15-2021,5.4
TD,08-15-2021,5.81
AMZN,08-14-2021,11.87
NFXL,08-14-2021,13.0
GOOG,08-14-2021,9.81
SPY,08-14-2021,6.48
QQQ,08-14-2021,14.13
SHOP,08-14-2021,14.03
DIS,08-14-2021,6.42
WMT,08-14-2021,13.54
BKR,08-14-2021,6.3
ZM,08-14-2021,12.41
PZR,08-14-2021,8.61
KT,08-14-2021,9.79
RI,08-14-2021,10.03
V,08-14-2021,11.48
TD,08-14-2021,7.52
AMZN,08-13-2021,11.96
NFXL,08-13-2021,9.32
GOOG,08-13-2021,7.17
SPY,08-13-2021,13.32
QQQ,08-13-2021,13.01
SHOP,08-13-2021,9.87
DIS,08-13-2021,6.96
WMT,08-13-2021,12.18
BKR,08-13-2021,13.35
ZM,08-13-2021,5.47
PZR,08-13-2021,14.08
KT,08-13-2021,5.57
RI,08-13-2021,8.04
V,08-13-2021,10.62
TD,08-13-2021,7.11
AMZN,08-12-2021,8.67
NFXL,08-12-2021,7.54
GOOG,08-12-2021,6.05
SPY,08-12-2021,11.21
QQQ,08-12-2021,11.98
SHOP,08-12-2021,11.75
DIS,08-12-2021,13.52
WMT,08-12-2021,6.07
BKR,08-12-2021,11.8
ZM,08-12-2021,12.85
PZR,08-12-2021,11.07
KT,08-12-2021,10.56
RI,08-12-2021,7.18
V,08-12-2021,7.16
TD,08-12-2021,10.41
AMZN,08-11-2021,9.74
NFXL,08-11-2021,7.64
GOOG,08-11-2021,14.74
SPY,08-11-2021,6.73
QQQ,08-11-2021,13.94
SHOP,08-11-2021,12.38
DIS,08-11-2021,9.67
WMT,08-11-2021,8.1
